Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,107411.7878411652,296391.342056031,,2980.0998177216593,93682.48166732276,6425.132424371773,45137.234603881094,523959.4817058572,254673.9536934207,2719.9984672873265,3808.4376771756365,470511.09582470934,645.9555244154802,0.034,,3.356,0.107,1.557,0.222,0.02,0.04,3.677,2.626,0.022,15.481,0.148,0.020999999999999998,investor 5
1.0,107477.58045723698,296588.44762509177,,2983.2156391720987,93751.98243474262,6425.6632347523,45138.720094014905,524138.3109765135,254755.8130534099,2721.2222607394465,3809.3614639448015,470801.3396439272,646.4588811244616,0.034,,3.353,0.107,1.557,0.222,0.02,0.04,3.6750000000000003,2.626,0.022,15.469000000000001,0.148,0.020999999999999998,investor 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,462882.9032299297,1010285.9966759087,,14520.359789859658,2320768.606561216,659237.9677486656,4589.053480020806,9518.108343674863,715345.6859888122,9862.491438349552,10724.997288473816,15804.177618876358,64133.99114500315,0.01,,0.6890000000000001,0.005,0.016,2.18,1.051,0.014,1.014,0.933,0.633,0.156,0.035,0.013000000000000001,investor 2
1.0,462835.4604501817,1010173.1909758261,,14531.526003213197,2321748.8067594245,659505.5988360216,4587.466409956332,9521.674503094007,716571.6881013887,9869.285969694403,10738.797962621653,15820.701279832274,64134.52026517062,0.01,,0.6890000000000001,0.005,0.016,2.18,1.051,0.014,1.014,0.932,0.633,0.156,0.035,0.013000000000000001,investor 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,174351.40191785563,381810.78798178874,,206171.34500354927,1102.2687908762582,47074.45821586249,5553.107736729914,7211.450161160593,839447.4672217873,181671.25154177664,18663.30577774106,3297.399619907744,83919.59705854952,0.027,,0.049,9.073,0.213,1.801,1.387,0.012,0.056,0.536,3.033,0.12,0.303,0.048,investor 6
