Time,Home Value,Equity,HEP Expectation
960,120149.1251,59803.94935,56967.83516
990,119598.4556,59253.27987,56528.80613
1020,119410.9577,59065.78198,56379.32077
1050,118906.08,58560.90423,55976.79984
1080,121622.8186,61277.64288,58142.7582
1110,122674.5142,62329.33849,58981.23742
1140,124122.0338,63776.85802,60135.29287
1170,121594.5963,61249.42055,58120.25755
1200,121696.1235,61350.94777,58201.20157
1230,121797.3913,61452.21554,58281.93872
1260,123347.1249,63001.94917,59517.48581
1290,124740.8586,64395.68284,60628.65972
1320,126415.9996,66070.82389,61964.18964
1350,128782.4102,68437.23443,63850.84396
1380,129795.9726,69450.79691,64658.921
1410,130166.3147,69821.13891,64954.18141
1440,132379.2219,72034.04621,66718.45309
1470,132790.4904,72445.31464,67046.34267
1500,131582.6216,71237.44588,66083.35219
1530,130510.5136,70165.33788,65228.59891
1560,132160.7551,71815.57941,66544.27734
1590,132692.6774,72347.50165,66968.35988
1620,134740.0244,74394.84871,68600.63632
1650,134683.5226,74338.34688,68555.58943
1680,135124.3189,74779.14318,68907.02053
1710,136200.8173,75855.64155,69765.2741
1740,136950.3215,76605.14581,70362.82698
1770,137023.3638,76678.18811,70421.06099
1800,138372.3677,78027.192,71496.57345
Time,Home Value,Equity,HEP Expectation
0,246875.2401,120313.9151,115402.2083
1,247088.8043,120527.4792,115572.4753
2,248023.9682,121462.6432,116318.048
3,247779.0565,121217.7315,116122.7887
4,247485.7393,120924.4143,115888.9374
5,246859.1542,120297.8292,115389.3836
6,247083.2829,120521.9579,115568.0734
7,246754.0641,120192.7391,115305.599
8,247242.9207,120681.5957,115695.3468
9,247643.1542,121081.8291,116014.4386
10,247195.1631,120633.8381,115657.2714
11,246564.8819,120003.5569,115154.7708
12,246528.1227,119966.7977,115125.464
13,245912.1625,119350.8375,114634.381
14,247148.1047,120586.7797,115619.7534
15,247133.534,120572.2089,115608.1367
16,247358.6195,120797.2945,115787.5894
17,247251.1597,120689.8347,115701.9155
18,246692.8563,120131.5313,115256.8002
19,246514.1251,119952.8001,115114.3042
20,245951.9539,119390.6288,114666.1052
21,245719.6747,119158.3497,114480.9174
22,245416.2566,118854.9316,114239.013
23,245965.7712,119404.4462,114677.1213
24,245145.6241,118584.2991,114023.2474
25,245550.9677,118989.6426,114346.4133
26,245929.9431,119368.618,114648.5568
27,245791.5251,119230.2001,114538.2011
28,245937.9818,119376.6568,114654.9658
29,246195.0747,119633.7497,114859.9368
30,246341.4159,119780.0909,114976.6094
60,247106.1297,120544.8046,115586.2882
90,248405.4196,121844.0946,116622.1656
120,246709.9535,120148.6285,115270.4312
150,251033.828,124472.5029,118717.7013
180,256917.0593,130355.7343,123408.1909
210,259468.0499,132906.7249,125442.0042
240,262341.6496,135780.3245,127733.0222
270,265501.966,138940.641,130252.6293
300,269072.6802,142511.3552,133099.4317
330,264676.3511,138115.0261,129594.3961
360,265720.1963,139158.8713,130426.6165
390,269881.0158,143319.6908,133743.8888
420,270050.9457,143489.6207,133879.3678
450,269431.2254,142869.9004,133385.287
480,265994.5553,139433.2303,130645.3531
510,265331.527,138770.202,130116.7444
540,266929.2355,140367.9105,131390.5401
570,265006.6764,138445.3514,129857.7526
600,264478.4887,137917.1636,129436.6475
630,265046.0561,138484.7311,129889.1486
660,267923.356,141362.0309,132183.1167
690,272878.0199,146316.6949,136133.2927
720,272551.5214,145990.1964,135872.9872
750,272982.4029,146421.0779,136216.5135
780,271691.648,145130.323,135187.4409
810,268680.2507,142118.9257,132786.5617
840,271756.2659,145194.9409,135238.9585
870,270219.968,143658.643,134014.1232
900,275659.6914,149098.3664,138351.0197
930,274743.9987,148182.6736,137620.9707
960,276641.5943,150080.2693,139133.8557
990,276438.4255,149877.1005,138971.8765
1020,277705.3164,151143.9914,139981.9232
